"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"lp__",-1693.2729383625003,-1696.68,34.68631500505125,34.97453400000021,-1744.78,-1630.93,1.0313921671986515,138.29334953540024,146.1723711425708
"x0[1]",38.43206208428773,37.2776,14.12488599715868,13.27549692,14.932095,62.37881499999998,1.0171084894493505,609.6991883430376,293.16406329111254
"x0[2]",43.57656724380251,42.081,21.801295267493607,23.64591327,9.40433,79.3501,1.0529850521191488,68.8177130046413,302.4160507891869
"x0[3]",71.30780232937502,71.37565000000001,15.559504184113795,15.528085229999983,46.1612,97.359205,1.0261133097185025,109.02700998874597,450.35543470878025
"x0[4]",48.651350882372476,49.1863,12.303659183510767,11.798011889999996,27.8743,68.44510999999999,1.011475634895347,916.1664876036625,5399.018087881239
"x0[5]",79.64845705568749,78.9694,14.392882109063267,13.796927339999991,56.749895,104.21,1.0118020697268217,1170.3064797235415,6223.790982521603
"x0[6]",84.779533114,85.8744,14.727970872846143,13.872984719999987,58.4248,108.15004999999994,1.0352686813049918,127.43419775808847,118.83044092260945
"x0[7]",59.26991553010108,60.27,19.64544588402682,20.539792140000003,25.97858,89.77200500000001,1.0115220754220162,385.4591523288204,7411.318760116049
"x0[8]",55.87959758916174,54.9549,19.777314811413152,20.091750420000004,25.144595000000002,89.86690499999999,1.0092527112913052,488.5647985544509,9046.290544028318
"v",-0.821892277794493,-0.799652,0.5518360680254161,0.5384766134999999,-1.7593605,0.04440324999999979,1.0319360042262067,233.28719343394818,1427.8732106215855
"w[1,1]",-0.04358418874951935,0.0240212,9.529369623630076,10.177804370999999,-15.658829999999996,15.084629999999958,1.017885110082374,177.50240026975473,7178.767050644846
"w[2,1]",0.46549581554329555,0.340275,9.668241875310821,9.623126646,-15.5418,15.8562,1.020041579156951,241.504781461343,743.1612575430768
"w[3,1]",-0.25965421533500777,-0.33375299999999997,5.446260814954008,5.103153678,-8.93695,8.905830499999999,1.010629757078413,355.4047746291209,4169.716762503181
"w[4,1]",3.525661407407739,3.80633,5.403375945849324,5.0892758007,-5.874354499999999,11.7865,1.0089210926705272,375.4624950062295,3867.7822510499727
"w[5,1]",-7.385516969242567,-7.975105,5.621055737345604,5.509778966999999,-15.527505,2.589394999999993,1.0112583713559784,384.11140183663457,8599.923915292165
"w[6,1]",0.8065903321068901,0.861058,5.281973004928517,5.2844978970000005,-7.9607025,9.293988499999987,1.0113185789283818,280.53515486604437,3295.595288601473
"w[7,1]",10.068687318007996,10.2888,5.7593105792594805,5.677312767,0.31708,19.05490999999999,1.016282994080489,208.12060180664457,8460.944883247432
"w[8,1]",0.17016778156925474,0.1280305,5.135180565556853,4.8816309989999995,-8.262331,8.711032999999995,1.0072183717847487,503.4691953311169,9636.874957225604
"w[9,1]",-6.72705523015054,-7.070385,5.813763409881864,5.709959618999999,-15.814505,3.3686704999999995,1.0258023202477826,181.3169281597091,218.6206243840841
"w[10,1]",10.570928863838533,10.887,7.049475426076888,7.333265772,-1.42068,21.784504999999992,1.0316056369734359,138.44550446715115,79.5706264576929
